BEP_Score,ESS
C,34
C,45
A,100
D,1
A,96
D,1
A,
B,
B,61
B,59
C,42
C,60
B,53
B,91
B,48
C,1
B,
B,61
B,14
A,89
A,42
B,50
B,51
C,5
A,93
B,31
B,65
B,44
A,66
D,1
A,78
A,96
A,92
A,72
B,64
A,100
B,
C,37
B,39
B,67
B,66
B,53
B,46
D,1
B,
A,93
B,
A,
B,49
B,76
A,
B,
B,17
C,15
B,91
A,76
B,44
B,63
C,6
B,42
D,1
B,64
A,63
B,34
B,24
C,39
B,33
C,6
B,
C,11
A,80
B,42
A,87
A,92
B,69
B,73
A,94
B,85
A,100
C,
B,56
B,55
B,39
B,44
C,61
B,
B,71
A,81
C,23
B,51
C,32
C,10
A,74
C,27
C,14
A,
C,4
C,50
C,22
C,36
B,
A,85
A,93
B,
B,
A,87
B,74
B,30
A,55
C,19
B,67
B,29
B,80
C,7
B,84
C,13
A,84
A,97
B,95
B,
B,84
A,78
B,63
B,89
A,100
A,
B,
A,84
A,91
B,68
C,12
B,
B,44
A,
A,97
C,52
B,88
B,56
C,14
A,95
B,25
A,83
A,87
C,
B,
C,33
C,76
B,94
B,67
B,40
C,
B,63
A,94
A,99
A,85
A,95
B,35
A,99
B,74
A,92
A,100
A,99
B,
B,73
C,30
A,100
B,77
B,57
A,94
A,82
B,60
A,86
A,97
B,52
B,74
A,95
A,91
B,
B,56
B,65
B,57
A,94
A,87
B,59
B,74
B,67
C,37
C,11
B,
C,1
C,3
A,100
A,31
B,77
B,
A,
A,73
B,27
B,69
B,63
C,4
C,1
B,33
B,80
A,
A,87
A,80
A,100
B,23
D,2
A,32
B,66
C,4
C,3
C,
D,1
B,79
B,58
C,
C,9
B,30
C,49
A,72
B,42
C,1
B,
C,
A,79
C,
D,1
A,40
C,36
B,82
C,45
B,6
B,64
B,79
C,1
C,5
B,56
D,1
C,9
B,25
C,35
B,26
B,55
B,70
B,41
B,33
B,49
A,82
B,78
A,100
D,1
A,81
B,65
B,13
B,
C,1
A,
D,3
B,52
B,57
A,100
A,99
B,97
B,50
D,2
A,93
B,84
B,68
A,94
B,66
C,16
A,91
A,87
A,97
C,8
A,77
C,1
B,6
B,38
B,54
B,64
C,10
B,74
A,68
A,86
C,
B,51
B,
B,42
B,68
A,94
B,61
B,63
A,100
A,80
B,50
B,70
C,18
B,36
A,62
B,59
B,81
A,97
A,77
B,60
B,56
B,53
A,95
A,96
A,66
B,71
B,65
B,75
B,73
B,89
B,42
B,32
B,71
A,81
C,
B,16
B,64
C,11
C,57
A,
B,7
B,17
A,97
C,38
C,23
C,29
C,16
B,56
B,59
B,68
B,71
B,67
A,86
C,60
D,1
B,81
A,99
D,1
B,55
C,2
C,5
A,88
C,16
A,90
B,
C,45
C,5
A,90
A,79
B,58
D,2
B,59
B,58
B,54
B,56
B,51
A,82
C,36
A,89
B,56
B,
C,20
C,18
A,92
A,99
A,74
B,46
A,81
A,100
B,92
A,88
A,81
A,94
B,65
B,86
A,76
A,89
A,82
B,15
B,70
B,73
A,85
A,72
B,79
A,90
B,26
B,55
