Source,Target,Value,Color,"Node, Label",Link Color
0,4,2,#e03165,0-19,"rgba(224, 49, 101, 0.5)"
0,5,167,#aa4989,20-49,"rgba(224, 49, 101, 0.5)"
0,6,608,#7461ac,50-89,"rgba(224, 49, 101, 0.5)"
0,7,215,#3e7ad0,90+,"rgba(224, 49, 101, 0.5)"
1,4,48,#3e7ad0,A,"rgba(170, 73, 137, 0.5)"
1,5,788,#7461ac,B,"rgba(170, 73, 137, 0.5)"
1,6,631,#aa4989,C,"rgba(170, 73, 137, 0.5)"
1,7,6,#e03165,D,"rgba(170, 73, 137, 0.5)"
2,4,747,,,"rgba(116, 97, 172, 0.5)"
2,5,2081,,,"rgba(116, 97, 172, 0.5)"
2,6,168,,,"rgba(116, 97, 172, 0.5)"
2,7,6,,,"rgba(116, 97, 172, 0.5)"
3,4,897,,,"rgba(62, 122, 208, 0.5)"
3,5,191,,,"rgba(62, 122, 208, 0.5)"
3,6,10,,,"rgba(62, 122, 208, 0.5)"
